time,open,high,low,close,vwap,volume,count
2025-12-12 16:03:00,133.6,133.63,133.36,133.46,133.56,62.47849155,35
2025-12-12 16:04:00,133.31,133.31,133.16,133.16,133.25,146.91131527,29
2025-12-12 16:05:00,133.13,133.45,133.11,133.11,133.28,407.73830443,38
2025-12-12 16:06:00,133.1,133.48,133.06,133.44,133.24,288.49703564,46
2025-12-12 16:07:00,133.49,133.52,133.21,133.21,133.32,32.15540575,19
2025-12-12 16:08:00,133.42,133.62,133.27,133.27,133.34,94.36901017,39
2025-12-12 16:09:00,133.21,133.55,133.11,133.45,133.16,1075.62970546,43
2025-12-12 16:10:00,133.42,133.48,132.81,132.81,132.93,1087.96587909,62
2025-12-12 16:11:00,132.81,132.81,132.6,132.7,132.69,364.60505928,53
2025-12-12 16:12:00,132.73,133.12,132.7,133.12,132.86,439.44635833,38
2025-12-12 16:13:00,133.03,133.22,132.98,133.22,133.05,126.8985998,26
2025-12-12 16:14:00,133.22,133.33,133.11,133.18,133.21,25.37197128,28
2025-12-12 16:15:00,133.17,133.17,132.92,133.06,133.03,78.685019,41
2025-12-12 16:16:00,133.11,133.11,132.67,132.67,132.95,176.91130107,29
2025-12-12 16:17:00,132.66,133.18,132.64,133.03,132.69,140.18477392,21
2025-12-12 16:18:00,132.98,133.07,132.95,132.99,132.98,496.80647278,35
2025-12-12 16:19:00,132.88,132.95,132.74,132.86,132.86,299.43622186,33
2025-12-12 16:20:00,132.87,132.89,132.62,132.62,132.72,28.31552983,27
2025-12-12 16:21:00,132.6,132.6,132.13,132.14,132.34,1548.56113417,79
2025-12-12 16:22:00,132.14,132.42,132.14,132.27,132.38,1155.93261977,24
2025-12-12 16:23:00,132.24,132.94,132.21,132.55,132.64,575.14694316,63
2025-12-12 16:24:00,132.61,132.88,132.59,132.86,132.78,3.74833929,16
2025-12-12 16:25:00,132.93,133.19,132.66,133.19,132.88,35.49471614,31
2025-12-12 16:26:00,133.19,133.39,133.13,133.39,133.24,243.85851596,27
2025-12-12 16:27:00,133.4,133.78,133.4,133.45,133.7,2083.15687113,50
2025-12-12 16:28:00,133.41,133.45,133.16,133.39,133.19,382.35051822,24
2025-12-12 16:29:00,133.5,133.63,133.5,133.63,133.56,158.76665386,23
2025-12-12 16:30:00,133.52,133.52,133.19,133.21,133.31,123.97144781,25
2025-12-12 16:31:00,133.2,133.24,132.75,132.76,133.0,149.49878736,36
2025-12-12 16:32:00,132.75,132.75,132.66,132.66,132.73,18.59694057,14
2025-12-12 16:33:00,132.6,132.6,132.45,132.54,132.53,398.36748647,24
2025-12-12 16:34:00,132.5,132.56,132.28,132.38,132.36,57.62086718,24
2025-12-12 16:35:00,132.45,132.58,132.43,132.51,132.52,120.56443031,43
2025-12-12 16:36:00,132.59,132.6,132.46,132.53,132.57,334.10395446,33
2025-12-12 16:37:00,132.54,132.54,132.02,132.02,132.13,138.83797044,61
2025-12-12 16:38:00,132.02,132.13,131.88,132.08,131.95,2676.37448199,108
2025-12-12 16:39:00,132.09,132.12,132.03,132.06,132.08,1647.13167141,56
2025-12-12 16:40:00,132.06,132.06,131.67,131.96,131.83,52.82723001,35
2025-12-12 16:41:00,131.97,132.13,131.9,132.0,131.99,172.13968614,33
2025-12-12 16:42:00,131.82,131.96,131.55,131.74,131.59,124.0203269,33
2025-12-12 16:43:00,131.7,132.12,131.59,132.07,131.74,3995.46553606,89
2025-12-12 16:44:00,132.11,132.19,131.93,131.99,132.03,45.52655955,27
2025-12-12 16:45:00,131.93,132.01,131.92,132.0,131.99,51.1011158,8
2025-12-12 16:46:00,132.0,132.03,131.95,131.99,131.96,1294.04543934,25
2025-12-12 16:47:00,131.93,132.24,131.93,132.13,131.96,452.97111448,37
2025-12-12 16:48:00,132.18,132.26,132.03,132.26,132.15,4.40372567,13
2025-12-12 16:49:00,132.26,132.26,131.94,132.01,132.03,551.32813406,33
2025-12-12 16:50:00,132.06,132.07,131.9,132.0,131.94,119.81162146,22
2025-12-12 16:51:00,132.08,132.08,131.94,131.94,131.98,17.48275528,28
2025-12-12 16:52:00,131.93,131.99,131.76,131.99,131.82,815.13151184,35
2025-12-12 16:53:00,131.99,132.28,131.99,131.99,132.05,241.69640092,29
2025-12-12 16:54:00,131.92,132.02,131.85,132.0,131.96,291.98099051,15
2025-12-12 16:55:00,131.98,132.2,131.98,132.18,132.05,36.20074964,18
2025-12-12 16:56:00,132.09,132.46,132.01,132.46,132.26,8.86446932,18
2025-12-12 16:57:00,132.27,132.59,132.27,132.59,132.51,87.3170382,26
2025-12-12 16:58:00,132.45,132.45,132.14,132.14,132.33,13.04574267,10
2025-12-12 16:59:00,132.22,132.22,132.13,132.18,132.17,3.87331832,10
2025-12-12 17:00:00,132.21,132.52,132.1,132.52,132.23,262.24456141,24
2025-12-12 17:01:00,132.52,132.55,132.3,132.37,132.35,132.368245,17
2025-12-12 17:02:00,132.34,132.42,132.29,132.38,132.38,12.41560171,19
2025-12-12 17:03:00,132.38,132.63,132.38,132.57,132.45,61.95204113,21
2025-12-12 17:04:00,132.51,132.52,132.4,132.42,132.45,63.86153625,12
2025-12-12 17:05:00,132.41,132.55,132.41,132.55,132.48,131.51640199,16
2025-12-12 17:06:00,132.63,132.9,132.63,132.8,132.75,2839.02253803,61
2025-12-12 17:07:00,132.71,132.8,132.68,132.77,132.71,226.13668316,16
2025-12-12 17:08:00,132.88,133.15,132.83,132.9,132.98,164.85514199,42
2025-12-12 17:09:00,132.8,132.85,132.73,132.85,132.78,82.76351287,36
2025-12-12 17:10:00,132.82,132.94,132.7,132.89,132.87,129.283673,21
2025-12-12 17:11:00,132.95,132.96,132.85,132.96,132.91,180.89599258,15
2025-12-12 17:12:00,132.97,133.19,132.97,133.19,133.09,189.01059818,23
2025-12-12 17:13:00,133.11,133.17,133.06,133.06,133.11,98.89174416,16
2025-12-12 17:14:00,133.06,133.16,133.0,133.1,133.05,1706.39232282,17
2025-12-12 17:15:00,133.07,133.34,133.07,133.34,133.17,177.60740011,32
2025-12-12 17:16:00,133.36,133.52,133.36,133.51,133.47,85.47107752,19
2025-12-12 17:17:00,133.5,133.58,133.5,133.53,133.55,182.83715988,31
2025-12-12 17:18:00,133.52,133.52,133.37,133.37,133.44,65.52795767,17
2025-12-12 17:19:00,133.31,133.31,133.2,133.28,133.29,307.00596873,13
2025-12-12 17:20:00,133.35,133.35,133.19,133.21,133.25,15.17238701,15
2025-12-12 17:21:00,133.17,133.17,132.83,132.84,133.04,42.48924781,20
2025-12-12 17:22:00,132.75,132.96,132.66,132.83,132.88,46.70666785,13
2025-12-12 17:23:00,132.85,132.88,132.63,132.63,132.7,33.50992708,19
2025-12-12 17:24:00,132.65,132.66,132.36,132.66,132.49,8806.01439085,94
2025-12-12 17:25:00,132.65,132.66,132.39,132.53,132.51,870.47514915,20
2025-12-12 17:26:00,132.53,132.54,132.25,132.28,132.3,532.17814689,21
2025-12-12 17:27:00,132.31,132.34,131.98,131.98,132.03,432.37452345,40
2025-12-12 17:28:00,131.97,132.01,131.88,131.91,131.97,160.82877545,16
2025-12-12 17:29:00,131.87,131.87,131.65,131.65,131.71,334.17923218,29
2025-12-12 17:30:00,131.66,131.78,131.43,131.43,131.53,1070.77171594,63
2025-12-12 17:31:00,131.44,131.65,131.44,131.47,131.49,318.96595705,32
2025-12-12 17:32:00,131.49,131.81,131.49,131.81,131.76,127.80426338,23
2025-12-12 17:33:00,131.88,132.13,131.88,132.12,131.94,70.33462043,38
2025-12-12 17:34:00,132.13,132.17,131.98,131.98,132.04,4.39367673,15
2025-12-12 17:35:00,131.98,131.98,131.73,131.93,131.8,22.69943858,18
2025-12-12 17:36:00,132.03,132.13,132.02,132.09,132.08,487.92689787,15
2025-12-12 17:37:00,132.03,132.14,132.03,132.04,132.1,57.61140637,13
2025-12-12 17:38:00,132.13,132.23,132.08,132.16,132.13,440.86457049,25
