Ticker,Date,Open,High,Low,Close,Volume
QGMD,2022-03-22,2.3710,2.4450,2.3640,2.4320,3767003
QGMD,2022-03-23,2.4440,2.4440,2.4000,2.4120,1637859
QGMD,2022-03-24,2.4250,2.4250,2.3820,2.4150,2492401
QGMD,2022-03-27,2.4000,2.5690,2.3810,2.5280,9428207
QGMD,2022-03-28,2.5340,2.5710,2.4780,2.4820,3771137
QGMD,2022-03-29,2.4750,2.5180,2.4400,2.4500,2895848
QGMD,2022-03-30,2.4670,2.5170,2.4020,2.4410,3708297
QGMD,2022-03-31,2.4410,2.4750,2.4250,2.4280,799294
QGMD,2022-04-03,2.5090,2.5090,2.4000,2.4050,1364564
QGMD,2022-04-04,2.4060,2.4640,2.3820,2.4010,2812781
QGMD,2022-04-05,2.4020,2.4370,2.3950,2.4090,2039590
QGMD,2022-04-06,2.4030,2.4450,2.4030,2.4090,1663124
QGMD,2022-04-07,2.4110,2.4310,2.4000,2.4080,3086765
QGMD,2022-04-10,2.4100,2.4310,2.3800,2.3940,2984376
QGMD,2022-04-11,2.3940,2.4000,2.3650,2.3760,2710497
QGMD,2022-04-12,2.3750,2.3880,2.3450,2.3450,1473264
QGMD,2022-04-13,2.3310,2.3970,2.3300,2.3410,1489715
QGMD,2022-04-14,2.3410,2.4300,2.3270,2.4100,8963060
QGMD,2022-04-17,2.4340,2.4340,2.3770,2.3990,1474330
QGMD,2022-04-18,2.3620,2.3960,2.3580,2.3700,1509282
QGMD,2022-04-19,2.3850,2.3850,2.2900,2.2930,1251644
QGMD,2022-04-20,2.3190,2.3190,2.2430,2.2950,1062030
QGMD,2022-04-21,2.3190,2.3190,2.2500,2.3130,1047945
QGMD,2022-04-24,2.2900,2.3310,2.2590,2.2950,1023178
QGMD,2022-04-25,2.3100,2.3100,2.2200,2.2200,3716020
QGMD,2022-04-26,2.2220,2.2630,2.1810,2.2110,2017871
QGMD,2022-04-27,2.2090,2.2090,2.1100,2.1100,2597994
QGMD,2022-04-28,2.1110,2.2810,2.1110,2.2000,3070552
QGMD,2022-05-08,2.2740,2.2740,2.1520,2.1700,1093930
QGMD,2022-05-09,2.1630,2.1790,2.0900,2.1020,2439948
QGMD,2022-05-10,2.1020,2.1200,2.0250,2.0640,3254551
QGMD,2022-05-11,2.0400,2.0500,1.9600,2.0300,2059540
QGMD,2022-05-12,2.0300,2.2000,2.0300,2.0900,6708544
QGMD,2022-05-15,2.0900,2.1270,1.9770,2.0270,1752146
QGMD,2022-05-16,1.9900,2.0380,1.9780,2.0000,1567584
QGMD,2022-05-17,2.0210,2.1580,2.0030,2.0160,1999007
QGMD,2022-05-18,2.0170,2.0590,2.0000,2.0330,2241611
QGMD,2022-05-19,2.0000,2.0240,1.9930,1.9930,2580146
QGMD,2022-05-22,1.9950,2.0280,1.9750,2.0090,1379585
QGMD,2022-05-23,2.0000,2.0240,1.9760,1.9860,1172312
QGMD,2022-05-24,1.9860,2.0160,1.9800,1.9800,1369002
QGMD,2022-05-25,1.9800,2.0000,1.9640,1.9700,1589223
QGMD,2022-05-26,1.9720,1.9850,1.9500,1.9630,421736
QGMD,2022-05-29,1.9630,1.9850,1.9510,1.9680,1149059
QGMD,2022-05-30,1.9690,1.9700,1.9450,1.9500,1196501
QGMD,2022-05-31,1.9680,1.9700,1.9440,1.9500,932698
QGMD,2022-06-01,1.9420,2.1450,1.9410,2.1450,12063949
QGMD,2022-06-02,2.1780,2.3240,2.1500,2.1680,19840624
QGMD,2022-06-05,2.1660,2.2370,2.1190,2.1650,4034367
QGMD,2022-06-06,2.1830,2.1830,2.1000,2.1160,2796983
QGMD,2022-06-07,2.1030,2.1160,2.0330,2.0360,3803477
